season,round,race_name,circuit_id,race_date,driver_id,driver_code,constructor_id,finish_position,grid_position,status,points
2010,3,Malaysian Grand Prix,sepang,2010-04-04,buemi,BUE,toro_rosso,11,13,Finished,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,barrichello,BAR,williams,12,7,+1 Lap,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,alonso,ALO,ferrari,13,19,Engine,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,grassi,DIG,virgin,14,24,+3 Laps,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,chandhok,CHA,hrt,15,22,+3 Laps,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,bruno_senna,SEN,hrt,16,23,+4 Laps,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,trulli,TRU,lotus_racing,17,18,+5 Laps,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,kovalainen,KOV,lotus_racing,18,15,+10 Laps,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,petrov,PET,renault,19,11,Gearbox,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,liuzzi,LIU,force_india,20,10,Throttle,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,michael_schumacher,MSC,mercedes,21,8,Wheel,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,kobayashi,KOB,sauber,22,9,Engine,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,glock,GLO,virgin,23,16,Spun off,0.0
2010,3,Malaysian Grand Prix,sepang,2010-04-04,rosa,DLR,sauber,24,12,Engine,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,button,BUT,mclaren,1,5,Finished,25.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,hamilton,HAM,mclaren,2,6,Finished,18.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,rosberg,ROS,mercedes,3,4,Finished,15.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,alonso,ALO,ferrari,4,3,Finished,12.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,kubica,KUB,renault,5,8,Finished,10.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,vettel,VET,red_bull,6,1,Finished,8.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,petrov,PET,renault,7,14,Finished,6.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,webber,WEB,red_bull,8,2,Finished,4.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,massa,MAS,ferrari,9,7,Finished,2.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,michael_schumacher,MSC,mercedes,10,9,Finished,1.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,sutil,SUT,force_india,11,10,Finished,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,barrichello,BAR,williams,12,11,Finished,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,alguersuari,ALG,toro_rosso,13,12,Finished,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,kovalainen,KOV,lotus_racing,14,21,+1 Lap,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,hulkenberg,HUL,williams,15,16,+1 Lap,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,bruno_senna,SEN,hrt,16,23,+2 Laps,0.0
